guideline_id,topic,text
G00001,post-discharge follow-up,Demo evidence record 1. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00002,medication reconciliation,Demo evidence record 2. Medication reconciliation after transitions of care can help identify discrepancies. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00003,heart failure,Demo evidence record 3. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00004,chronic kidney disease,Demo evidence record 4. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00005,diabetes,"Demo evidence record 5. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00006,COPD,Demo evidence record 6. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00007,readmission risk,"Demo evidence record 7. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00008,AI safety,Demo evidence record 8. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00009,post-discharge follow-up,Demo evidence record 9. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00010,medication reconciliation,Demo evidence record 10. Medication reconciliation after transitions of care can help identify discrepancies. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00011,heart failure,Demo evidence record 11. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00012,chronic kidney disease,Demo evidence record 12. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00013,diabetes,"Demo evidence record 13. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00014,COPD,Demo evidence record 14. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00015,readmission risk,"Demo evidence record 15. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00016,AI safety,Demo evidence record 16. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00017,post-discharge follow-up,Demo evidence record 17. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00018,medication reconciliation,Demo evidence record 18. Medication reconciliation after transitions of care can help identify discrepancies. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00019,heart failure,Demo evidence record 19. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00020,chronic kidney disease,Demo evidence record 20. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00021,diabetes,"Demo evidence record 21. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00022,COPD,Demo evidence record 22. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00023,readmission risk,"Demo evidence record 23. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00024,AI safety,Demo evidence record 24. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00025,post-discharge follow-up,Demo evidence record 25. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00026,medication reconciliation,Demo evidence record 26. Medication reconciliation after transitions of care can help identify discrepancies. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00027,heart failure,Demo evidence record 27. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00028,chronic kidney disease,Demo evidence record 28. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00029,diabetes,"Demo evidence record 29. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00030,COPD,Demo evidence record 30. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00031,readmission risk,"Demo evidence record 31. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00032,AI safety,Demo evidence record 32. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00033,post-discharge follow-up,Demo evidence record 33. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00034,medication reconciliation,Demo evidence record 34. Medication reconciliation after transitions of care can help identify discrepancies. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00035,heart failure,Demo evidence record 35. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00036,chronic kidney disease,Demo evidence record 36. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00037,diabetes,"Demo evidence record 37. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00038,COPD,Demo evidence record 38. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00039,readmission risk,"Demo evidence record 39. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00040,AI safety,Demo evidence record 40. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00041,post-discharge follow-up,Demo evidence record 41. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00042,medication reconciliation,Demo evidence record 42. Medication reconciliation after transitions of care can help identify discrepancies. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00043,heart failure,Demo evidence record 43. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00044,chronic kidney disease,Demo evidence record 44. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00045,diabetes,"Demo evidence record 45. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00046,COPD,Demo evidence record 46. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00047,readmission risk,"Demo evidence record 47. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00048,AI safety,Demo evidence record 48. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00049,post-discharge follow-up,Demo evidence record 49. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00050,medication reconciliation,Demo evidence record 50. Medication reconciliation after transitions of care can help identify discrepancies. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00051,heart failure,Demo evidence record 51. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00052,chronic kidney disease,Demo evidence record 52. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00053,diabetes,"Demo evidence record 53. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00054,COPD,Demo evidence record 54. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00055,readmission risk,"Demo evidence record 55. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00056,AI safety,Demo evidence record 56. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00057,post-discharge follow-up,Demo evidence record 57. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00058,medication reconciliation,Demo evidence record 58. Medication reconciliation after transitions of care can help identify discrepancies. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00059,heart failure,Demo evidence record 59. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00060,chronic kidney disease,Demo evidence record 60. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00061,diabetes,"Demo evidence record 61. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00062,COPD,Demo evidence record 62. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00063,readmission risk,"Demo evidence record 63. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00064,AI safety,Demo evidence record 64. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00065,post-discharge follow-up,Demo evidence record 65. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00066,medication reconciliation,Demo evidence record 66. Medication reconciliation after transitions of care can help identify discrepancies. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00067,heart failure,Demo evidence record 67. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00068,chronic kidney disease,Demo evidence record 68. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00069,diabetes,"Demo evidence record 69. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00070,COPD,Demo evidence record 70. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00071,readmission risk,"Demo evidence record 71. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00072,AI safety,Demo evidence record 72. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00073,post-discharge follow-up,Demo evidence record 73. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00074,medication reconciliation,Demo evidence record 74. Medication reconciliation after transitions of care can help identify discrepancies. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00075,heart failure,Demo evidence record 75. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00076,chronic kidney disease,Demo evidence record 76. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00077,diabetes,"Demo evidence record 77. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00078,COPD,Demo evidence record 78. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00079,readmission risk,"Demo evidence record 79. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00080,AI safety,Demo evidence record 80. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00081,post-discharge follow-up,Demo evidence record 81. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00082,medication reconciliation,Demo evidence record 82. Medication reconciliation after transitions of care can help identify discrepancies. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00083,heart failure,Demo evidence record 83. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00084,chronic kidney disease,Demo evidence record 84. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00085,diabetes,"Demo evidence record 85. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00086,COPD,Demo evidence record 86. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00087,readmission risk,"Demo evidence record 87. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00088,AI safety,Demo evidence record 88. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00089,post-discharge follow-up,Demo evidence record 89. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00090,medication reconciliation,Demo evidence record 90. Medication reconciliation after transitions of care can help identify discrepancies. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00091,heart failure,Demo evidence record 91. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00092,chronic kidney disease,Demo evidence record 92. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00093,diabetes,"Demo evidence record 93. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00094,COPD,Demo evidence record 94. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00095,readmission risk,"Demo evidence record 95. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00096,AI safety,Demo evidence record 96. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00097,post-discharge follow-up,Demo evidence record 97. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00098,medication reconciliation,Demo evidence record 98. Medication reconciliation after transitions of care can help identify discrepancies. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00099,heart failure,Demo evidence record 99. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00100,chronic kidney disease,Demo evidence record 100. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00101,diabetes,"Demo evidence record 101. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00102,COPD,Demo evidence record 102. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00103,readmission risk,"Demo evidence record 103. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00104,AI safety,Demo evidence record 104. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00105,post-discharge follow-up,Demo evidence record 105. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00106,medication reconciliation,Demo evidence record 106. Medication reconciliation after transitions of care can help identify discrepancies. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00107,heart failure,Demo evidence record 107. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00108,chronic kidney disease,Demo evidence record 108. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00109,diabetes,"Demo evidence record 109. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00110,COPD,Demo evidence record 110. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00111,readmission risk,"Demo evidence record 111. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00112,AI safety,Demo evidence record 112. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00113,post-discharge follow-up,Demo evidence record 113. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00114,medication reconciliation,Demo evidence record 114. Medication reconciliation after transitions of care can help identify discrepancies. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00115,heart failure,Demo evidence record 115. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00116,chronic kidney disease,Demo evidence record 116. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00117,diabetes,"Demo evidence record 117. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00118,COPD,Demo evidence record 118. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00119,readmission risk,"Demo evidence record 119. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00120,AI safety,Demo evidence record 120. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00121,post-discharge follow-up,Demo evidence record 121. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00122,medication reconciliation,Demo evidence record 122. Medication reconciliation after transitions of care can help identify discrepancies. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00123,heart failure,Demo evidence record 123. Patients with heart failure and recurrent utilization may warrant closer post-discharge monitoring. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00124,chronic kidney disease,Demo evidence record 124. Kidney-function abnormalities should be interpreted with full clinical context and longitudinal laboratory history. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00125,diabetes,"Demo evidence record 125. Diabetes management after discharge commonly includes review of medications, monitoring plans, and follow-up arrangements. Context: clinical operations. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00126,COPD,Demo evidence record 126. COPD with recent acute-care utilization may indicate need for structured follow-up under local protocols. Context: care management. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00127,readmission risk,"Demo evidence record 127. Readmission-risk models should support, not replace, clinical judgment and should be monitored for calibration and drift. Context: hospital discharge. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only."
G00128,AI safety,Demo evidence record 128. AI-generated clinical summaries should be grounded in source data and reviewed for unsupported claims. Context: payer analytics. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
G00129,post-discharge follow-up,Demo evidence record 129. Recent hospitalization and repeated acute-care use are important signals for care-coordination follow-up. Context: population health. Use approved local policy and qualified clinical judgment. Synthetic portfolio evidence only.
